"";"NM_AREA_AVALIACAO";"NM_PROGRAMA_IES";"QT_PRJ"
"246";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"PODER LEGISLATIVO";16
"247";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIÊNCIAS MILITARES";13
"248";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTUDOS MARÍTIMOS";12
"249";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"RELAÇOES INTERNACIONAIS";11
"250";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIENCIA POLITICA";10
"251";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"DIREITOS HUMANOS, CIDADANIA E VIOLÊNCIA";8
"252";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"CIÊNCIAS AEROESPACIAIS";7
"253";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ECONOMIA POLÍTICA INTERNACIONAL";7
"254";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ESTUDOS ESTRATÉGICOS DA DEFESA E DA SEGURANÇA";7
"255";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"INTEGRAÇÃO CONTEMPORÂNEA DA AMÉRICA LATINA - ICAL";3
"256";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";"ANÁLISE E GESTÃO DE POLÍTICAS INTERNACIONAIS: RESOLUÇÃO DE CONFLITOS E COOPERAÇÃO PARA O DESENVOLVIMENTO";1
"257";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA";360
"258";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA AGRÍCOLA";182
"259";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS FLORESTAIS";156
"260";"CIÊNCIAS AGRÁRIAS I";"AGROECOLOGIA";144
"261";"CIÊNCIAS AGRÁRIAS I";"PRODUÇÃO VEGETAL";112
"262";"CIÊNCIAS AGRÁRIAS I";"MICROBIOLOGIA AGRÍCOLA E DO AMBIENTE";102
"263";"CIÊNCIAS AGRÁRIAS I";"GENÉTICA E MELHORAMENTO";91
"264";"CIÊNCIAS AGRÁRIAS I";"PRODUÇÃO VEGETAL NO SEMIÁRIDO";84
"265";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (SOLOS E NUTRIÇÃO DE PLANTAS)";81
"266";"CIÊNCIAS AGRÁRIAS I";"AGROQUÍMICA";81
"267";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIA DO SOLO";71
"268";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (FITOPATOLOGIA)";65
"269";"CIÊNCIAS AGRÁRIAS I";"FITOTECNIA";62
"270";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA FLORESTAL";57
"271";"CIÊNCIAS AGRÁRIAS I";"FITOTECNIA (PRODUÇÃO VEGETAL)";57
"272";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (PRODUÇÃO VEGETAL)";56
"273";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS AGRÁRIAS";51
"274";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (METEOROLOGIA APLICADA)";49
"275";"CIÊNCIAS AGRÁRIAS I";"ESTATÍSTICA APLICADA E BIOMETRIA";49
"276";"CIÊNCIAS AGRÁRIAS I";"BIOQUÍMICA APLICADA";47
"277";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA TROPICAL";46
"278";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA AGRÍCOLA E AMBIENTAL";46
"279";"CIÊNCIAS AGRÁRIAS I";"EXTENSÃO RURAL";46
"280";"CIÊNCIAS AGRÁRIAS I";"PRODUÇÃO VEGETAL E BIOPROCESSOS ASSOCIADOS";44
"281";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA ¿ PRODUÇÃO VEGETAL";41
"282";"CIÊNCIAS AGRÁRIAS I";"FITOSSANIDADE E BIOTECNOLOGIA APLICADA";36
"283";"CIÊNCIAS AGRÁRIAS I";"SOLOS E QUALIDADE DE ECOSSISTEMAS";36
"284";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS FLORESTAIS E AMBIENTAIS";35
"285";"CIÊNCIAS AGRÁRIAS I";"ENTOMOLOGIA";35
"286";"CIÊNCIAS AGRÁRIAS I";"MICROBIOLOGIA AGRÍCOLA";34
"287";"CIÊNCIAS AGRÁRIAS I";"ECOSSISTEMAS AGRÍCOLAS E NATURAIS";33
"288";"CIÊNCIAS AGRÁRIAS I";"DEFESA AGROPECUÁRIA";32
"289";"CIÊNCIAS AGRÁRIAS I";"AGROECOSSISTEMAS";30
"290";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS DE FLORESTAS TROPICAIS";29
"291";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA CONSERVACIONISTA";28
"292";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA - SUSTENTABILIDADE NA AGRICULLTURA";26
"293";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA DE BIOMATERIAIS";26
"294";"CIÊNCIAS AGRÁRIAS I";"MANEJO E CONSERVAÇÃO DE ECOSSISTEMAS NATURAIS E AGRÁRIOS";24
"295";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIA FLORESTAL";23
"296";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA NO TRÓPICO ÚMIDO";22
"297";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA SUSTENTÁVEL";22
"298";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA E AMBIENTE";21
"299";"CIÊNCIAS AGRÁRIAS I";"AGROENERGIA";21
"300";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (FITOTECNIA)";21
"301";"CIÊNCIAS AGRÁRIAS I";"RECURSOS HÍDRICOS EM SISTEMAS AGRÍCOLAS";21
"302";"CIÊNCIAS AGRÁRIAS I";"AGRONEGÓCIO";20
"303";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA TROPICAL";19
"304";"CIÊNCIAS AGRÁRIAS I";"CONTROLE DE DOENÇAS E PRAGAS DOS CITROS";19
"305";"CIÊNCIAS AGRÁRIAS I";"HORTICULTURA TROPICAL";19
"306";"CIÊNCIAS AGRÁRIAS I";"PROTEÇÃO DE PLANTAS";19
"307";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA - SOLOS E NUTRIÇÃO DE PLANTAS";16
"308";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA E BIODIVERSIDADE";15
"309";"CIÊNCIAS AGRÁRIAS I";"BIOLOGIA VEGETAL";15
"310";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS AMBIENTAIS E FLORESTAIS";15
"311";"CIÊNCIAS AGRÁRIAS I";"RECURSOS GENÉTICOS VEGETAIS";15
"312";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS BIOLÓGICAS (MICROBIOLOGIA APLICADA)";14
"313";"CIÊNCIAS AGRÁRIAS I";"FITOPATOLOGIA";14
"314";"CIÊNCIAS AGRÁRIAS I";"OLERICULTURA";14
"315";"CIÊNCIAS AGRÁRIAS I";"BIOMETRIA E ESTATÍSTICA APLICADA";13
"316";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS AGRÁRIAS (AGROECOLOGIA)";13
"317";"CIÊNCIAS AGRÁRIAS I";"PLANTAS MEDICINAIS, AROMÁTICAS E CONDIMENTARES";13
"318";"CIÊNCIAS AGRÁRIAS I";"SISTEMAS DE PRODUÇÃO NA AGROPECUÁRIA";13
"319";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIA E TECNOLOGIA DA MADEIRA";12
"320";"CIÊNCIAS AGRÁRIAS I";"PRODUÇÃO AGRÍCOLA";12
"321";"CIÊNCIAS AGRÁRIAS I";"GENÉTICA E MELHORAMENTO DE PLANTAS";11
"322";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (ENTOMOLOGIA AGRÍCOLA)";10
"323";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (GENÉTICA E MELHORAMENTO DE PLANTAS)";10
"324";"CIÊNCIAS AGRÁRIAS I";"BIOTECNOLOGIA APLICADA À AGRICULTURA";10
"325";"CIÊNCIAS AGRÁRIAS I";"CIENCIA DO SOLO";10
"326";"CIÊNCIAS AGRÁRIAS I";"MANEJO DE SOLO E ÁGUA";10
"327";"CIÊNCIAS AGRÁRIAS I";"PROGRAMA DE PÓS-GRADUAÇÃO EM IRRIGAÇÃO NO CERRADO";10
"328";"CIÊNCIAS AGRÁRIAS I";"BOTÂNICA APLICADA";9
"329";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS AGRÁRIAS - AGRONOMIA";9
"330";"CIÊNCIAS AGRÁRIAS I";"FISIOLOGIA VEGETAL";9
"331";"CIÊNCIAS AGRÁRIAS I";"GENETICA E MELHORAMENTO";9
"332";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA: HORTICULTURA IRRIGADA";8
"333";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (ENERGIA NA AGRICULTURA)";7
"334";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (HORTICULTURA)";7
"335";"CIÊNCIAS AGRÁRIAS I";"ENTOMOLOGIA AGRÍCOLA";7
"336";"CIÊNCIAS AGRÁRIAS I";"GENÉTICA E BIOLOGIA MOLECULAR";7
"337";"CIÊNCIAS AGRÁRIAS I";"ESTATÍSTICA E EXPERIMENTAÇÃO AGROPECUÁRIA";6
"338";"CIÊNCIAS AGRÁRIAS I";"GESTÃO DE ÁREAS PROTEGIDAS NA AMAZÔNIA";6
"339";"CIÊNCIAS AGRÁRIAS I";"TECNOLOGIA DE CELULOSE E PAPEL";6
"340";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA TROPICAL E SUBTROPICAL";5
"341";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA - AGRICULTURA E AMBIENTE";5
"342";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (CIÊNCIAS DO SOLO)";5
"343";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (PROTEÇÃO DE PLANTAS)";5
"344";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS AGRÁRIAS (FISIOLOGIA VEGETAL)";5
"345";"CIÊNCIAS AGRÁRIAS I";"MICROBIOLOGIA AGROPECUÁRIA";5
"346";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA DE PRECISÂO";4
"347";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA ( MELHORAMENTO GENÉTICO DE PLANTAS)";4
"348";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIAS (ENERGIA NUCLEAR NA AGRICULTURA)";4
"349";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA DE SISTEMAS AGRÍCOLAS";4
"350";"CIÊNCIAS AGRÁRIAS I";"EXTENSÃO RURAL E DESENVOLVIMENTO LOCAL";4
"351";"CIÊNCIAS AGRÁRIAS I";"RECURSOS FLORESTAIS";4
"352";"CIÊNCIAS AGRÁRIAS I";"AGROBIOLOGIA";3
"353";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (CIÊNCIA DO SOLO)";3
"354";"CIÊNCIAS AGRÁRIAS I";"MANEJO E CONSERVAÇÃO DO SOLO E DA ÁGUA";3
"355";"CIÊNCIAS AGRÁRIAS I";"AGRICULTURA ORGÂNICA";2
"356";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (ESTATÍSTICA E EXPERIMENTAÇÃO AGRONÔMICA)";2
"357";"CIÊNCIAS AGRÁRIAS I";"CIÊNCIA E TECNOLOGIA DE SEMENTES";2
"358";"CIÊNCIAS AGRÁRIAS I";"FITOSSANIDADE";2
"359";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (IRRIGAÇÃO E DRENAGEM)";1
"360";"CIÊNCIAS AGRÁRIAS I";"AGRONOMIA (MICROBIOLOGIA AGRÍCOLA)";1
"361";"CIÊNCIAS AGRÁRIAS I";"ENGENHARIA DE ENERGIA NA AGRICULTURA";1
"362";"CIÊNCIAS AGRÁRIAS I";"FISIOLOGIA BIOQUÍMICA DE PLANTAS";1
"363";"CIÊNCIAS AGRÁRIAS I";"SISTEMAS DE PRODUÇÃO AGRÍCOLA FAMILIAR";1
"364";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS AMBIENTAIS";519
"365";"CIÊNCIAS AMBIENTAIS";"CIÊNCIA E TECNOLOGIA AMBIENTAL";237
"366";"CIÊNCIAS AMBIENTAIS";"TECNOLOGIA AMBIENTAL";108
"367";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS NATURAIS";103
"368";"CIÊNCIAS AMBIENTAIS";"QUALIDADE AMBIENTAL";95
"369";"CIÊNCIAS AMBIENTAIS";"RECURSOS NATURAIS";92
"370";"CIÊNCIAS AMBIENTAIS";"AMBIENTE E SOCIEDADE";84
"371";"CIÊNCIAS AMBIENTAIS";"MEIO AMBIENTE E DESENVOLVIMENTO REGIONAL";77
"372";"CIÊNCIAS AMBIENTAIS";"AMBIENTE, TECNOLOGIA E SOCIEDADE";70
"373";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO E MEIO AMBIENTE";67
"374";"CIÊNCIAS AMBIENTAIS";"USO SUSTENTÁVEL DE RECURSOS NATURAIS";58
"375";"CIÊNCIAS AMBIENTAIS";"MEIO AMBIENTE";55
"376";"CIÊNCIAS AMBIENTAIS";"SUSTENTABILIDADE SOCIOECONÔMICA AMBIENTAL";55
"377";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO TERRITORIAL SUSTENTÁVEL";54
"378";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO LOCAL";50
"379";"CIÊNCIAS AMBIENTAIS";"BIODIVERSIDADE E AGROECOSSISTEMAS AMAZÔNICOS";44
"380";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS AMBIENTAIS E SUSTENTABILIDADE AGROPECUÁRIA";43
"381";"CIÊNCIAS AMBIENTAIS";"SOCIEDADE, TECNOLOGIA E MEIO AMBIENTE";43
"382";"CIÊNCIAS AMBIENTAIS";"SOCIEDADE, NATUREZA E DESENVOLVIMENTO";42
"383";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";36
"384";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS E MEIO AMBIENTE";35
"385";"CIÊNCIAS AMBIENTAIS";"ENGENHARIA DE BIOSSISTEMAS";35
"386";"CIÊNCIAS AMBIENTAIS";"CIÊNCIA AMBIENTAL";34
"387";"CIÊNCIAS AMBIENTAIS";"ANÁLISE AMBIENTAL INTEGRADA";32
"388";"CIÊNCIAS AMBIENTAIS";"GESTÃO E REGULAÇÃO DE RECURSOS HÍDRICOS - PROFÁGUA";32
"389";"CIÊNCIAS AMBIENTAIS";"SUSTENTABILIDADE NA GESTÃO AMBIENTAL";32
"390";"CIÊNCIAS AMBIENTAIS";"ANÁLISE E MODELAGEM DE SISTEMAS AMBIENTAIS";29
"391";"CIÊNCIAS AMBIENTAIS";"MEIO AMBIENTE E RECURSOS HÍDRICOS";29
"392";"CIÊNCIAS AMBIENTAIS";"OCEANOGRAFIA AMBIENTAL";29
"393";"CIÊNCIAS AMBIENTAIS";"CONSERVAÇÃO E MANEJO DE RECURSOS NATURAIS";28
"394";"CIÊNCIAS AMBIENTAIS";"ECOLOGIA APLICADA";28
"395";"CIÊNCIAS AMBIENTAIS";"AMBIENTE E TECNOLOGIAS SUSTENTÁVEIS";26
"396";"CIÊNCIAS AMBIENTAIS";"GOVERNANÇA E SUSTENTABILIDADE";25
"397";"CIÊNCIAS AMBIENTAIS";"RECURSOS HÍDRICOS";25
"398";"CIÊNCIAS AMBIENTAIS";"RECURSOS NATURAIS DA AMAZÔNIA";25
"399";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO SUSTENTÁVEL";24
"400";"CIÊNCIAS AMBIENTAIS";"GERENCIAMENTO COSTEIRO";24
"401";"CIÊNCIAS AMBIENTAIS";"PLANEJAMENTO E USO DE RECURSOS RENOVÁVEIS";22
"402";"CIÊNCIAS AMBIENTAIS";"RECURSOS NATURAIS DO CERRADO (RENAC)";19
"403";"CIÊNCIAS AMBIENTAIS";"AGROECOLOGIA";18
"404";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS AMBIENTAIS E CONSERVAÇÃO";18
"405";"CIÊNCIAS AMBIENTAIS";"CIÊNCIA E TECNOLOGIA PARA RECURSOS AMAZÔNICOS";17
"406";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS DO MEIO AMBIENTE";17
"407";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS MARINHAS TROPICAIS";17
"408";"CIÊNCIAS AMBIENTAIS";"ENGENHARIA AMBIENTAL";17
"409";"CIÊNCIAS AMBIENTAIS";"SISTEMAS AGROINDUSTRIAIS";17
"410";"CIÊNCIAS AMBIENTAIS";"USO SUSTENTÁVEL DE RECURSOS NATURAIS EM REGIÕES TROPICAIS";17
"411";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO E MEIO AMBIENTE - PRODEMA";15
"412";"CIÊNCIAS AMBIENTAIS";"MEIO AMBIENTE URBANO E INDUSTRIAL";13
"413";"CIÊNCIAS AMBIENTAIS";"AGROECOSSISTEMAS";12
"414";"CIÊNCIAS AMBIENTAIS";"CONSERVAÇÃO DE RECURSOS NATURAIS DO CERRADO";12
"415";"CIÊNCIAS AMBIENTAIS";"GESTÃO AMBIENTAL";12
"416";"CIÊNCIAS AMBIENTAIS";"ANÁLISE DE SISTEMAS AMBIENTAIS";11
"417";"CIÊNCIAS AMBIENTAIS";"FÍSICA AMBIENTAL";11
"418";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS DO AMBIENTE";10
"419";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO E MEIO AMBIENTE UFPI-UFRN-FUFSE-UESC-UFPB/JP";10
"420";"CIÊNCIAS AMBIENTAIS";"ECOTURISMO E CONSERVAÇÃO";10
"421";"CIÊNCIAS AMBIENTAIS";"DESENVOLVIMENTO REGIONAL SUSTENTÁVEL";9
"422";"CIÊNCIAS AMBIENTAIS";"SUSTENTABILIDADE E TECNOLOGIA AMBIENTAL";7
"423";"CIÊNCIAS AMBIENTAIS";"CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA";6
"424";"CIÊNCIAS AMBIENTAIS";"MEIO AMBIENTE E DESENVOLVIMENTO";6
"425";"CIÊNCIAS AMBIENTAIS";"MESTRADO PROFISSIONAL EM REDE NACIONAL PARA ENSINO DAS CIÊNCIAS AMBIENTAIS";6
"426";"CIÊNCIAS AMBIENTAIS";"AMBIENTE, SAÚDE E SUSTENTABILIDADE";5
"427";"CIÊNCIAS AMBIENTAIS";"DEFESA E SEGURANÇA CIVIL";5
"428";"CIÊNCIAS AMBIENTAIS";"DESASTRES NATURAIS";5
"429";"CIÊNCIAS AMBIENTAIS";"GESTÃO DE RISCO E DESASTRE NA AMAZÔNIA";5
"430";"CIÊNCIAS AMBIENTAIS";"SUSTENTABILIDADE";5
"431";"CIÊNCIAS AMBIENTAIS";"AMBIENTE E DESENVOLVIMENTO";4
"432";"CIÊNCIAS AMBIENTAIS";"MODELAGEM EM CIÊNCIAS DA TERRA E DO AMBIENTE";4
"433";"CIÊNCIAS AMBIENTAIS";"TECNOLOGIAS LIMPAS";3
"434";"CIÊNCIAS AMBIENTAIS";"CIÊNCIA DO SISTEMA TERRESTRE";1
"435";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS BIOLÓGICAS";260
"436";"CIÊNCIAS BIOLÓGICAS I";"GENÉTICA E BIOLOGIA MOLECULAR";168
"437";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS (BIOLOGIA CELULAR E TECIDUAL)";129
"438";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR";112
"439";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E MOLECULAR";104
"440";"CIÊNCIAS BIOLÓGICAS I";"GENÉTICA";104
"441";"CIÊNCIAS BIOLÓGICAS I";"BIOCIÊNCIAS";78
"442";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS BIOLÓGICAS (GENÉTICA)";64
"443";"CIÊNCIAS BIOLÓGICAS I";"BIOINFORMÁTICA";63
"444";"CIÊNCIAS BIOLÓGICAS I";"BIOCIÊNCIAS E BIOTECNOLOGIA";54
"445";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E MOLECULAR APLICADA";46
"446";"CIÊNCIAS BIOLÓGICAS I";"GENÉTICA, CONSERVAÇÃO E BIOLOGIA EVOLUTIVA";46
"447";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA HUMANA E EXPERIMENTAL";35
"448";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA ESTRUTURAL E FUNCIONAL";30
"449";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA MOLECULAR E CELULAR";28
"450";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA ANIMAL";27
"451";"CIÊNCIAS BIOLÓGICAS I";"CIENCIAS BIOLOGICAS";20
"452";"CIÊNCIAS BIOLÓGICAS I";"PROGRAMA DE PÓS-GRADUAÇÃO EM CIÊNCIAS";20
"453";"CIÊNCIAS BIOLÓGICAS I";"ANÁLISES CLÍNICAS";17
"454";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E ESTRUTURAL";15
"455";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA E BIOTECNOLOGIA DE MICRORGANISMOS";15
"456";"CIÊNCIAS BIOLÓGICAS I";"MESTRADO PROFISSIONAL EM ACONSELHAMENTO GENÉTICO E GENÔMICA HUMANA";14
"457";"CIÊNCIAS BIOLÓGICAS I";"GENÉTICA E BIOQUÍMICA";11
"458";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS MORFOFUNCIONAIS";9
"459";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA GERAL E APLICADA";7
"460";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS BIOLÓGICAS (BIOLOGIA MOLECULAR)";7
"461";"CIÊNCIAS BIOLÓGICAS I";"GENÉTICA E TOXICOLOGIA APLICADA";7
"462";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA APLICADA À SAÚDE";5
"463";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E DO DESENVOLVIMENTO";5
"464";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E MOLECULAR APLICADA À SAÚDE";5
"465";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA URBANA";2
"466";"CIÊNCIAS BIOLÓGICAS I";"BIOLOGIA CELULAR E ESTRUTURAL APLICADAS";1
"467";"CIÊNCIAS BIOLÓGICAS I";"CIÊNCIAS BIOLÓGICAS (BIOLOGIA GENÉTICA)";1
"468";"CIÊNCIAS BIOLÓGICAS I";"INTERNACIONAL BIOLOGIA CELULAR E MOLECULAR VEGETAL";1
"469";"CIÊNCIAS BIOLÓGICAS II";"BIOLOGIA CELULAR E MOLECULAR";276
"470";"CIÊNCIAS BIOLÓGICAS II";"FARMACOLOGIA";227
"471";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS FISIOLÓGICAS";222
"472";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOMÉDICAS";82
"473";"CIÊNCIAS BIOLÓGICAS II";"BIOQUÍMICA";81
"474";"CIÊNCIAS BIOLÓGICAS II";"BIOQUÍMICA E IMUNOLOGIA";80
"475";"CIÊNCIAS BIOLÓGICAS II";"NEUROCIÊNCIAS E BIOLOGIA CELULAR";78
"476";"CIÊNCIAS BIOLÓGICAS II";"FISIOLOGIA";72
"477";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (BIOQUÍMICA)";68
"478";"CIÊNCIAS BIOLÓGICAS II";"MULTICÊNTRICO EM BIOQUÍMICA E BIOLOGIA MOLECULAR";65
"479";"CIÊNCIAS BIOLÓGICAS II";"MULTICÊNTRICO EM CIÊNCIAS FISIOLÓGICAS";61
"480";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS APLICADAS AO SISTEMA MUSCULOESQUELÉTICO";57
"481";"CIÊNCIAS BIOLÓGICAS II";"INOVAÇÃO TECNOLÓGICA E BIOFARMACÊUTICA";51
"482";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS (FISIOLOGIA GERAL)";48
"483";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS MORFOFUNCIONAIS";38
"484";"CIÊNCIAS BIOLÓGICAS II";"BIOQUÍMICA E FARMACOLOGIA";36
"485";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOMÉDICAS (FISIOLOGIA E FARMACOLOGIA)";36
"486";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (FISIOLOGIA)";32
"487";"CIÊNCIAS BIOLÓGICAS II";"BIOLOGIA ESTRUTURAL E FUNCIONAL";31
"488";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (BIOFÍSICA)";31
"489";"CIÊNCIAS BIOLÓGICAS II";"BIOQUÍMICA E BIOPROSPECÇÃO";30
"490";"CIÊNCIAS BIOLÓGICAS II";"MORFOTECNOLOGIA";30
"491";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS";29
"492";"CIÊNCIAS BIOLÓGICAS II";"INOVAÇÃO TECNOLÓGICA E PROPRIEDADE INTELECTUAL";28
"493";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS MORFOLÓGICAS";27
"494";"CIÊNCIAS BIOLÓGICAS II";"NEUROCIÊNCIAS";26
"495";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS: FARMACOLOGIA E TERAPÊUTICA";18
"496";"CIÊNCIAS BIOLÓGICAS II";"FARMACOLOGIA E BIOTECNOLOGIA";18
"497";"CIÊNCIAS BIOLÓGICAS II";"BIOSSISTEMAS";17
"498";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (FISIOLOGIA E FARMACOLOGIA)";17
"499";"CIÊNCIAS BIOLÓGICAS II";"NEUROIMUNOLOGIA";16
"500";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS (FISIOLOGIA HUMANA)";15
"501";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA E QUÍMICA MEDICINAL)";14
"502";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (BIOLOGIA MOLECULAR)";12
"503";"CIÊNCIAS BIOLÓGICAS II";"QUÍMICA BIOLÓGICA";11
"504";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (NEUROCIÊNCIAS)";10
"505";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS BIOLÓGICAS (FARMACOLOGIA)";8
"506";"CIÊNCIAS BIOLÓGICAS II";"FORMAÇÃO CIENTÍFICA PARA PROFESSORES DE BIOLOGIA";8
"507";"CIÊNCIAS BIOLÓGICAS II";"BIOMEDICINA TRANSLACIONAL";7
"508";"CIÊNCIAS BIOLÓGICAS II";"BIOCIÊNCIAS";6
"509";"CIÊNCIAS BIOLÓGICAS II";"CIÊNCIAS (BIOQUÍMICA)";3
